|index|Unnamed: 0|Word_Count|Word|X1|Y1|X2|Y2
37|0|1|1|Courtallatn|210|71|353|74
17|1|2|2|botder|130|109|261|115
49|2|3|3|parotta|279|123|440|131
14|3|4|4|AUTHENTI|123|184|244|191
44|4|5|5|G|243|184|267|192
46|5|6|6|MULTI|268|195|333|199
63|6|7|7|CUISINE|345|195|438|206
11|7|8|8|100|80|210|112|212
15|8|9|9|FEETROAD,|123|210|227|221
43|9|10|10|VELACHERY|243|222|349|229
65|10|11|11|,|356|222|363|227
67|11|12|12|CH-42|365|222|423|234
10|12|13|13|GSTIN|74|232|140|236
18|14|14|14|:|149|232|152|241
23|13|15|15|33AALFC1903|155|232|292|245
9|17|18|18|Date:|74|246|143|260
51|15|16|16|D|297|246|309|247
55|16|17|17|1Z2|312|246|345|251
26|18|19|19|10/11/2019|162|260|272|268
8|21|24|24|Tbl|74|271|109|278
13|22|25|25|No|123|271|145|282
54|19|20|20|Time:|312|271|365|275
68|20|21|21|15:50|373|271|430|279
27|24|26|26|:|162|284|164|286
32|23|27|27|C2|182|284|203|286
52|25|22|22|Bill|297|284|343|294
7|26|28|28|Waiter|74|296|144|301
24|28|30|30|MANI|155|296|201|307
71|27|23|23|DO2997|381|296|451|303
20|29|29|29|:|149|306|151|306
35|30|31|31|KANDAN|200|306|270|313
6|31|32|32|Item|74|340|120|342
45|32|33|33|Qty|259|352|292|354
56|33|34|34|Rate|312|352|362|360
78|34|35|35|Amount|397|363|466|368
4|35|36|36|VEECHY|66|381|140|385
22|36|37|37|PARO|155|381|197|389
34|37|38|38|TA|200|381|221|391
5|40|42|42|FISH|66|394|116|404
50|38|39|39|1|279|394|287|394
62|39|40|40|90|337|394|356|401
16|41|43|43|FINGER|130|405|197|409
79|42|41|41|90.00|407|405|460|409
2|44|48|48|EGG|66|418|105|423
12|45|49|49|FIRED|117|418|172|426
59|43|47|47|260|320|418|353|421
75|46|44|44|260|391|418|423|427
81|47|45|45|.|429|418|439|425
33|49|50|50|RICE|182|428|229|432
58|50|51|51|120|320|428|352|440
83|48|46|46|00|439|428|458|430
3|51|53|53|CHICKEN|66|441|149|446
25|52|54|54|TIKA|155|441|226|448
74|53|52|52|120.00|391|441|455|449
1|56|56|56|PAROTA|66|453|137|465
41|54|55|55|M|229|453|238|454
57|55|63|63|260|320|453|350|459
73|57|64|64|260|381|453|420|463
21|58|57|57|PLAIN|149|466|203|469
36|61|58|58|(|210|466|211|472
38|62|59|59|1|220|466|221|472
40|60|60|60|P|229|466|236|469
48|63|67|67|1|268|466|280|473
82|59|65|65|.00|429|466|452|468
0|65|61|61|VEECHY|66|476|135|482
61|64|66|66|20|328|476|349|478
77|66|68|68|20.00|391|476|449|487
19|67|62|62|PAROTA|149|486|213|490
47|68|69|69|1|268|486|279|493
60|69|70|70|90|328|496|346|497
76|70|71|71|90|391|496|413|503
80|71|72|72|.00|420|496|446|506
29|72|76|76|Total|162|546|220|549
69|73|73|73|840.00|373|546|437|558
31|74|77|77|CGST|168|560|211|562
42|75|78|78|2.5|243|560|278|564
30|77|79|79|SGST|168|572|210|579
39|78|80|80|2.5%|220|572|284|583
72|76|74|74|21.00|381|572|433|574
28|80|81|81|Nett:|162|588|214|597
70|79|75|75|21.00|381|588|430|589
64|81|82|82|882.00|345|606|422|608
53|83|83|83|viait|297|632|347|635
66|82|84|84|Again|356|632|410|634
