Word_Count,Word,index,X1,Y1,X2,Y2
1,NO.6.,3,99,44,144,44
2,DHANDEESWARAM,5,158,44,285,44
3,MAIN,7,295,45,333,45
4,ROAD,9,343,46,381,46
5,VELACHER,11,218,60,332,60
6,GSTIN,13,39,79,87,79
7,33AABFL6568K121,15,98,78,245,78
8,UserId:,17,73,97,140,97
9,V.VIJAY,19,153,97,221,97
10,"PH:22433444,22434000,",21,30,116,236,116
11,42022999,23,241,113,320,113
12,CASH-COUPON-BILL,25,152,134,389,129
13,Date:08/11/2017,27,261,153,411,146
14,8111,29,30,153,66,153
15,No,31,79,153,96,153
16,SP10039,33,125,153,206,153
17,counter:LAT10,35,31,173,162,173
18,Time:8:51:08,37,237,171,356,167
19,PM,39,366,168,386,167
20,Particulars,41,31,210,143,210
21,Rate,43,265,209,303,208
22,Oty,45,322,208,352,207
23,Amount,47,383,207,442,206
24,NESTLE,49,33,248,93,247
25,LACTOGEN,51,104,248,183,247
26,3,53,194,247,203,247
27,50,55,213,247,232,247
28,275.00,57,248,246,307,245
29,1.00,59,327,245,365,245
30,275.00,61,386,243,447,242
31,MOTHER,63,33,267,94,266
32,PUNJABI,65,105,266,172,265
33,PACHR,67,184,266,232,265
34,92.00,69,258,265,307,264
35,1.00,71,327,264,365,264
36,92.00,73,396,263,447,262
37,SELLAM,75,34,286,95,285
38,VATHA,77,105,285,154,284
39,KULAMBU,79,165,285,233,284
40,34.00,81,259,284,307,283
41,1.00,83,327,283,366,283
42,34.00,85,397,282,447,281
43,SELLAM,87,34,305,95,304
44,SESAME,89,105,303,164,302
45,IDLI,91,178,303,212,303
46,P,93,224,303,233,303
47,28.00,95,259,303,308,302
48,1.00,97,327,302,366,302
49,28.00,99,397,301,448,300
50,SUNDAKA,101,34,324,105,323
51,VATHAL,103,115,322,174,321
52,100,105,187,321,214,321
53,G,107,225,321,234,321
54,30.00,109,260,321,308,320
55,1.00,111,328,320,366,320
56,30.00,113,397,319,448,318
57,NESTLE,115,34,342,95,341
58,KITKAT,117,105,341,164,340
59,DESSER,119,176,340,234,339
60,54.00,121,259,340,308,339
61,1.00,123,328,339,366,339
62,54.00,125,397,338,448,337
63,Items:,127,29,381,85,380
64,6.00,129,98,380,139,379
65,Tot,131,175,378,202,377
66,oty:,133,214,378,250,377
67,6.00,135,271,377,310,376
68,513.00,137,386,377,447,377
69,Tendered,139,196,415,274,415
70,Amt:,141,284,415,321,415
71,Cash,143,195,434,234,434
72,Amt:,145,245,434,282,434
73,COUPON,147,195,454,254,454
74,AMOUNT:,149,266,453,333,453
75,500.00,151,376,453,438,453
76,CREDIT,153,195,474,254,473
77,CARD,155,266,473,305,473
78,AMT,157,317,473,345,473
79,13.00,159,385,415,434,415
80,13.00,161,387,433,437,433
81,BILLED,163,132,495,194,494
82,/,165,205,495,214,495
83,CHECKED,167,226,494,296,493
84,/DELIVERED,169,308,493,419,492
85,Thank,171,237,514,286,513
86,You,173,298,513,327,512
87,Goods,175,40,535,91,534
88,once,177,102,537,142,537
89,sold,179,154,536,194,536
90,can,181,206,537,236,537
91,not,183,247,535,275,535
92,be,185,288,533,307,533
93,taken,187,319,533,369,532
94,back,189,379,532,420,532
95,Exchange,191,40,554,122,553
96,within,193,133,555,195,554
97,7,195,206,553,215,553
98,Days,197,226,553,267,553
99,for,199,279,552,307,552
100,unused,201,319,551,379,550
101,product,203,390,551,461,550
102,with,205,40,574,80,574
103,Bil1,207,91,574,130,574
104,&,209,143,574,153,574
105,price,211,164,574,215,574
106,tas,213,227,574,257,574
107,inact.,215,269,571,325,571
