,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
23,0,1,Vishnu,3,79,60,209,72
36,1,2,Foods,5,233,71,334,80
46,2,3,Road,7,355,91,444,99
9,3,4,641,9,3,103,53,103
20,4,5,E,11,68,103,95,103
28,5,6,Algonquin,13,124,103,328,103
11,8,7,SchaumburgT,15,22,128,283,124
40,7,9,601,19,319,128,391,129
47,6,10,73,21,399,128,438,125
37,9,8,IL,17,241,141,300,136
22,10,11,847-303-5116,23,79,155,333,160
26,11,12,NAMASTE,25,124,194,272,197
7,15,13,3/4/2018,27,3,219,76,222
24,13,14,7:48:27,29,89,219,165,218
32,14,15,PM,31,177,219,198,220
48,12,16,BHAV,33,399,219,448,217
8,18,17,ONIONS,35,3,270,56,272
18,17,18,E,37,68,270,77,271
25,16,19,LBS,39,89,270,120,269
10,22,20,30,41,13,294,37,298
16,21,21,$1.49ea,43,48,294,120,297
43,20,26,$4.47,53,348,294,403,294
49,19,27,TX1,55,416,294,447,293
6,27,22,PENOLA,45,3,319,56,321
17,28,23,PEANUT,47,68,319,132,321
29,25,24,OIL,49,145,319,178,320
34,26,25,1GAL,51,192,319,234,320
44,23,28,$9.99,57,348,319,404,319
50,24,29,Tx1,59,416,319,449,319
5,30,31,SUB,63,3,366,28,372
12,31,32,TOTAL,65,37,366,89,373
41,29,30,$14.46,61,340,366,406,369
2,32,33,Tax,67,3,394,28,396
14,34,34,1,69,37,394,45,397
45,33,35,$0.33,71,348,394,406,393
3,36,38,TOTAL,77,3,441,99,451
39,35,36,$14.79,73,302,441,430,447
0,38,39,Credit,79,3,466,58,473
19,39,40,card,81,68,466,113,477
42,37,37,$14.79,75,340,466,409,472
1,40,41,Item,83,3,494,38,495
15,41,42,count:,85,48,494,109,502
27,42,43,4,87,124,494,135,502
4,43,44,Tra,89,3,519,28,518
13,45,45,:219713,91,37,519,119,525
31,44,46,Terminal:040000033-00,93,154,519,404,513
21,48,47,THANK,95,79,546,134,552
30,49,48,YOU,97,145,546,181,553
33,50,49,&,99,192,546,203,555
35,47,50,COME,101,215,546,260,550
38,46,51,AGAIN,103,272,546,324,544
