,Word_Count,Word,X1,Y1,X2,Y2
1,1,Gang,84,19,127,18
2,2,,129,19,138,19
3,3,,141,17,150,17
4,4,ree,152,18,183,17
5,5,Sweets,197,14,261,12
6,6,And,274,13,306,12
7,7,Snaek,321,12,375,10
8,8,CHENNAI,218,22,291,20
9,9,ONE,306,19,339,18
10,10,600097,393,38,458,36
11,11,Ph,186,56,205,55
12,12,o-9884637552,214,55,378,48
13,13,CASH/EILL,230,76,335,71
14,14,SELFSERVICE,223,99,349,94
15,15,POS,58,118,91,117
16,16,/,93,117,102,117
17,17,Bill,104,116,150,114
18,18,No,165,114,186,113
19,19,120,224,110,257,109
20,20,/,258,109,268,109
21,21,1,272,109,279,109
22,22,/,283,109,292,109
23,23,00028B21,295,107,389,103
24,24,=,201,114,207,114
25,25,tem,68,168,106,168
26,26,0,302,160,312,160
27,27,,315,161,324,161
28,28,y,327,162,336,162
29,29,Price,376,158,433,157
30,30,HSN,75,193,111,192
31,31,/,113,192,123,192
32,32,SAC,125,191,158,190
33,33,#,173,190,183,190
34,34,441067,198,190,268,188
35,35,],269,188,277,188
36,36,PACKING,60,205,146,203
37,37,CHARGES,161,204,243,202
38,38,CHANNA,62,219,136,218
39,39,SAMOSA,152,217,220,216
40,40,EGE,67,230,104,230
41,41,TABLE,111,229,169,228
42,42,GRILL,180,228,239,227
43,43,2-00o,280,200,339,199
44,44,1-000,286,214,344,213
45,45,1-000,284,228,342,226
46,46,4-50,390,198,435,196
47,47,,380,212,394,211
48,48,3,396,211,405,211
49,49,-,409,217,413,217
50,50,BC,418,211,439,210
51,51,74-29,382,225,440,224
52,52,9.00,498,195,544,193
53,53,63-803,493,209,549,207
54,54,74-29,491,222,550,219
55,55,SubTotal,59,257,160,255
56,56,147,486,247,517,247
57,57,09,528,246,553,246
58,58,TAXBREAKUF,252,267,377,264
59,59,3-69,521,288,570,288
60,60,3-69,522,302,567,301
61,61,Add,56,313,93,312
62,62,SGST,109,311,161,310
63,63,@,163,310,174,310
64,64,2-50,175,309,225,308
65,65,%,227,309,238,309
66,66,:,255,310,260,310
67,67,Total1,55,341,115,340
68,68,GST,126,340,170,339
69,69,Total,56,357,121,355
70,70,(,126,356,132,356
71,71,incl,139,355,190,354
72,72,GST,205,353,243,352
73,73,),248,352,254,352
74,74,,260,354,267,354
75,75,7-38,525,330,571,328
76,76,354.30,509,346,577,343
77,77,31,405,349,425,348
78,78,Tendered,57,389,164,386
79,79,by,179,386,205,385
80,80,:CARI,223,384,285,382
81,81,01,409,379,430,378
82,82,354-30,510,375,579,372
83,83,Than,140,417,194,415
84,84,You,210,414,247,413
85,85,!!!,266,413,296,412
86,86,V,316,411,327,411
87,87,isi,331,412,367,410
88,88,,371,410,381,410
89,89,Again,397,409,455,406
90,90,!!,473,405,490,404
91,91,!,500,404,504,404
