,index,Unnamed: 0,Word_Count,Word,X1,Y1,X2,Y2
32,0,1,1,LAIA,93,55,142,56
53,1,2,2,SUPER,151,55,197,57
81,2,3,3,HARKE,207,55,249,58
99,3,4,4,I,256,55,261,58
28,4,5,5,NO.,83,70,98,70
34,5,6,6,6.,101,70,111,71
43,6,7,7,DHIANDEESWARAN,114,70,201,73
82,7,8,8,MAIN,207,70,232,75
98,8,9,9,ROAD,234,70,262,76
60,9,10,10,VELACHE,158,90,219,91
86,10,11,11,RV,222,90,241,92
17,11,12,12,userld:,56,118,99,119
39,12,13,13,ANTONY.J,108,118,159,120
14,13,14,14,"PH:22433444,",32,134,110,135
42,14,15,15,"22434000,",114,134,169,136
66,15,16,16,42022999,168,134,223,137
41,16,17,17,CREDII,114,152,170,152
68,17,18,18,CARD,175,152,218,152
89,18,19,19,B11,228,152,254,152
11,19,20,20,BI1I,32,169,58,169
19,20,21,21,No:,63,169,91,169
37,21,22,22,CC24056,101,169,153,169
73,22,23,23,Date:23/09/2017,184,169,284,169
13,24,24,24,counter:CL11me:3:21:38,32,180,248,181
100,23,25,25,P,256,180,260,180
9,27,26,26,Particulars,26,221,106,222
74,28,27,27,Rate,184,221,213,222
84,25,28,28,Qty,222,221,245,221
101,26,29,29,Amount,256,221,307,220
10,30,30,30,TOILET,26,257,71,259
27,31,31,31,DESCALER,76,257,132,259
50,32,32,32,500M40.00,138,257,217,259
92,33,33,33,1.00,228,257,256,259
109,29,34,34,40.00,273,257,312,257
7,35,35,35,MODERN,26,277,70,278
26,36,36,36,FAMILY,76,277,119,278
48,37,37,37,SANDWI,124,277,165,278
69,38,38,38,30.00,184,277,217,278
94,39,39,39,1.00,228,277,257,278
107,34,40,40,30.00,273,277,313,277
5,44,41,41,LATTA,26,296,63,298
21,45,42,42,RING,69,296,98,298
35,46,43,43,MURUKKU,101,296,153,298
63,41,44,44,2,158,296,166,297
70,42,45,45,47.00,184,296,218,297
96,43,46,46,1.00,228,296,257,297
108,40,47,47,47.00,273,296,313,296
4,48,48,48,GODREJ,26,315,69,316
25,49,49,49,AER,76,315,97,316
36,50,50,50,POCKET,101,315,144,316
58,51,51,51,BA,151,315,166,316
72,52,52,52,54.00,184,315,218,316
91,53,53,53,2.00,228,315,257,316
104,47,54,54,108.00,273,315,313,315
6,59,55,55,INDICA,26,335,69,336
24,60,56,56,CREME,76,335,110,336
45,54,57,57,HAIR,114,335,145,335
56,55,58,58,CO,151,335,167,335
71,56,59,59,34.00,184,335,219,335
95,57,60,60,1.00,228,335,258,335
110,58,61,61,34.00,279,335,314,335
1,66,62,62,NESTLE,26,354,68,355
23,65,63,63,MUNCH,76,354,111,355
44,67,64,64,MAHA,114,354,146,356
59,61,65,65,15,151,354,167,354
77,62,66,66,5.00,191,354,219,354
93,63,67,67,2.00,228,354,258,354
111,64,68,68,10.00,279,354,314,354
0,73,69,69,Items:,20,391,60,396
20,72,70,70,6.00,69,391,98,396
47,70,71,71,Tot,124,391,143,395
54,71,72,72,Qty:,151,391,178,395
78,69,73,73,8.00,191,391,221,394
105,68,74,74,269.00,273,391,316,393
49,77,75,75,CREDIT,138,433,179,434
75,75,76,76,CARD,184,433,217,434
85,76,77,77,AMT,222,433,244,434
102,74,78,78,269.00,267,433,309,432
30,80,79,79,BILLED,93,453,134,455
55,79,80,80,CHECKED,151,453,208,454
87,78,81,81,DELIVERED,222,453,293,452
64,81,82,82,Thank,168,478,204,477
83,82,83,83,You,207,478,233,478
3,87,84,84,Goods,26,498,63,500
22,90,85,85,once,69,498,100,503
38,88,86,86,sold,108,498,138,500
51,89,87,87,can,145,498,167,503
67,85,88,88,not,175,498,195,499
80,86,89,89,be,199,498,219,499
90,83,90,90,taken,228,498,263,497
103,84,91,91,back,267,498,298,497
2,95,92,92,Exchange,26,517,85,521
31,97,93,93,within,93,517,137,522
52,93,94,94,7,145,517,152,521
62,96,95,95,Days,158,517,189,521
79,94,96,96,for,199,517,219,521
88,92,97,97,unused,222,517,270,519
106,91,98,98,product,273,517,326,516
8,98,99,99,ith,26,542,52,542
18,99,100,100,Bill,63,542,90,542
33,100,101,101,&,93,542,104,542
40,101,102,102,price,108,542,152,542
61,102,103,103,tas,158,542,180,542
76,103,104,104,inact.,191,542,232,542
12,109,105,105,o,32,561,40,568
15,108,106,106,Guarantee,48,561,115,564
46,106,107,107,for,124,561,145,564
57,107,108,108,8,151,561,159,565
65,105,109,109,1mported,168,561,225,562
97,104,110,110,items.,234,561,275,560
16,111,111,111,Cash,48,586,77,587
29,110,112,112,Refund,83,586,130,586
